8.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,6,0,0,Dubai International Cricket Stadium,88,Islamabad United,190
9.1,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,1,0,0,Dubai International Cricket Stadium,89,Islamabad United,190
9.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1,0,0,Dubai International Cricket Stadium,90,Islamabad United,190
9.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,4,0,0,Dubai International Cricket Stadium,94,Islamabad United,190
9.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,6,0,0,Dubai International Cricket Stadium,100,Islamabad United,190
9.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,1,0,0,Dubai International Cricket Stadium,101,Islamabad United,190
9.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1,0,0,Dubai International Cricket Stadium,102,Islamabad United,190
10.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,6,0,0,Dubai International Cricket Stadium,108,Islamabad United,190
10.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,2,0,0,Dubai International Cricket Stadium,110,Islamabad United,190
10.3,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,1,0,0,Dubai International Cricket Stadium,111,Islamabad United,190
10.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Amad Butt,4,0,0,Dubai International Cricket Stadium,115,Islamabad United,190
10.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Amad Butt,1,0,0,Dubai International Cricket Stadium,116,Islamabad United,190
10.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,4,0,0,Dubai International Cricket Stadium,120,Islamabad United,190
11.1,Peshawar Zalmi,DJ Malan,Kamran Akmal,SR Watson,2,0,0,Dubai International Cricket Stadium,122,Islamabad United,190
11.2,Peshawar Zalmi,DJ Malan,Kamran Akmal,SR Watson,0,0,0,Dubai International Cricket Stadium,122,Islamabad United,190
